Municipio;latitude;longitude
BRASILIA;-1580773;-4816292
BRASILIA;-1586589;-4800219
BRASILIA;-1556728;-4785551
BRASILIA;-1557071;-4785612
BRASILIA;-1565;-4788
BRASILIA;-1565;-4785
BRASILIA;-1567;-4787
BRASILIA;-1556892;-4785563
BRASILIA;-1582942;-4812055
BRASILIA;-1563353;-4746148
