DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58557,-48.14939,6.3
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.61063,-47.80418,5.4
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.52767,-47.87279,6.5
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.52733,-47.8698,5.1
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57604,-48.15979,7.3
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57565,-48.15635,7.3
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57525,-48.15282,5.8
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57721,-48.17014,10.0
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57682,-48.1667,17.7
2021/08/28 16:11:00,NPP-375,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57643,-48.16324,17.7
2021/08/28 16:20:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.61124,-48.17529,88.2
2021/08/28 16:20:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.60349,-48.18098,217.5
2021/08/28 16:20:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58765,-48.18489,406.8
2021/08/28 16:43:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 16:20:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.5754,-48.16023,131.1
2021/08/28 16:20:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57913,-48.19424,80.1
2021/08/28 16:20:00,AQUA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58398,-48.1494,126.0
2021/08/28 15:43:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.57,-48.16,
2021/08/28 15:43:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 16:33:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 15:13:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 15:13:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.18,
2021/08/28 15:13:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.15,
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.5977,-48.15863,7.1
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.59631,-48.16795,85.9
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.59491,-48.17729,170.1
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.59009,-48.14795,24.4
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.5887,-48.15728,141.2
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.5873,-48.16663,54.1
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58591,-48.17598,12.1
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.5797,-48.15597,24.2
2021/08/28 13:29:00,TERRA_M-T,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.53063,-47.86695,6.3
2021/08/28 15:23:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 15:23:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.18,
2021/08/28 15:03:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 15:03:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.18,
2021/08/28 15:03:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.15,
2021/08/28 14:53:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 14:53:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.15,
2021/08/28 15:33:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 15:33:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.18,
2021/08/28 14:03:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 14:03:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.15,
2021/08/28 13:53:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 13:53:49,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.15,
2021/08/28 14:43:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 14:43:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.18,
2021/08/28 14:43:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.15,
2021/08/28 14:13:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.58,-48.18,
2021/08/28 14:13:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.18,
2021/08/28 14:13:48,GOES-16,Brasil,DISTRITO FEDERAL,BRASÍLIA,Cerrado,36.0,0.0,1.0,-15.6,-48.15,
