latitude,longitude,objectid,id_grade,id_20km_rcp4,ano,periodo,mntp,mxtp,ocis,prec,ur2m,u10m,v10m,u100,v100,tp2m,
null,null,2006045,12014,47,2006,1136073600000,18.1925,27.3437,294,898,54.1737,-1.99903,-0.658408,-4.06422,-0.37344,22.7226,
null,null,2006046,12015,48,2006,1136073600000,17.9545,27.7209,294,873,54.5279,-2.57044,-0.083413,-3.80775,0.158034,22.8839,
null,null,2006047,12016,49,2006,1136073600000,19.4669,30.4684,284,1340,51.8625,-2.09423,0.256299,-2.87164,0.40951,25.2011,
null,null,2006048,12017,50,2006,1136073600000,19.2249,30.2166,287,1108,52.3365,-1.61292,0.307048,-2.26331,0.696886,24.9038,
null,null,2006049,12018,51,2006,1136073600000,19.1975,30.5191,288,1012,52.5987,-1.6536,0.34569,-2.30734,0.37438,25.013,
null,null,2006050,12019,52,2006,1136073600000,19.2458,30.6136,288,1013,52.2468,-1.68239,0.076743,-2.61522,-0.169192,25.0668,
null,null,2006051,12020,53,2006,1136073600000,18.8934,30.1093,288,1065,52.2619,-2.04936,-0.115234,-3.60459,-0.570499,24.6143,
null,null,2006052,12021,54,2006,1136073600000,17.5014,28.5964,292,865,53.8417,-2.62246,-0.437441,-4.35713,-0.673048,23.1342,
null,null,2006053,12022,55,2006,1136073600000,16.7623,28.1414,294,806,54.6087,-2.95321,-0.410108,-4.41127,-0.535929,22.551,
null,null,2006054,12023,56,2006,1136073600000,16.5428,28.171,294,801,54.4692,-3.04047,-0.363177,-4.38415,-0.385225,22.4658,
null,null,2006055,12024,57,2006,1136073600000,16.4254,28.0751,295,786,54.8309,-3.03014,-0.226023,-4.38309,-0.204029,22.3407,
null,null,2006056,13006,58,2006,1136073600000,19.613,28.8618,279,1293,55.4033,-1.67295,-0.580498,-2.53832,-0.875912,24.2836,
null,null,2006057,13007,59,2006,1136073600000,19.8228,29.5243,280,1550,54.3401,-1.63179,-0.614112,-1.96818,-0.520089,24.8049,
null,null,2006058,13008,60,2006,1136073600000,19.5529,29.3117,283,1101,53.6925,-1.42871,-0.577866,-1.93036,-0.650146,24.5553,
null,null,2006059,13009,61,2006,1136073600000,19.8471,30.1174,283,1218,52.816,-1.3743,-0.629004,-1.87445,-0.843474,25.1613,
null,null,2006060,13010,62,2006,1136073600000,20.0918,30.6577,283,1296,52.0371,-1.23544,-0.649551,-1.80547,-0.928935,25.5908,
null,null,2006061,13011,63,2006,1136073600000,20.334,30.7796,284,1341,51.1342,-1.14647,-0.553431,-1.67204,-0.875701,25.7572,
null,null,2006062,13012,64,2006,1136073600000,20.6129,30.9029,283,1469,50.3298,-1.15026,-0.442249,-1.79583,-0.849997,25.9327,
null,null,2006063,13013,65,2006,1136073600000,20.1183,30.0078,285,1459,50.9079,-2.3786,-0.513109,-3.51578,-1.10579,25.165,
null,null,2006064,13014,66,2006,1136073600000,17.2042,26.5681,295,893,55.8765,-1.70593,-0.305083,-4.06268,-0.603128,21.8402,
null,null,2006065,13015,67,2006,1136073600000,16.9161,26.3474,295,805,56.4658,-2.34068,0.014027,-3.4824,0.090164,21.6246,
null,null,2006066,13016,68,2006,1136073600000,17.8536,27.8044,292,844,54.5723,-1.87829,0.260215,-2.96514,0.089215,22.9312,
null,null,2006067,13017,69,2006,1136073600000,19.1395,29.5239,288,945,52.4842,-1.73783,0.087469,-2.34105,0.210984,24.4548,
null,null,2006068,13018,70,2006,1136073600000,19.4266,30.4882,287,878,52.3264,-1.35591,-0.008261,-2.00115,0.039695,25.0781,
null,null,2006069,13019,71,2006,1136073600000,19.3713,30.6093,287,1006,52.2046,-1.54211,-0.169257,-2.57342,-0.42805,25.0923,
null,null,2006070,13020,72,2006,1136073600000,18.3252,29.4012,289,958,53.2761,-1.75671,-0.219765,-3.92803,-0.798608,23.9461,
null,null,2006071,13021,73,2006,1136073600000,16.9999,28.0558,294,782,54.752,-2.69141,-0.59953,-4.36466,-0.70285,22.5957,
null,null,2006072,13022,74,2006,1136073600000,16.7897,28.3005,293,796,53.9668,-2.94484,-0.544546,-4.39286,-0.616539,22.6606,
null,null,2006073,13023,75,2006,1136073600000,16.582,28.1896,293,807,54.3839,-3.02101,-0.484277,-4.39834,-0.526534,22.4993,
null,null,2006074,13024,76,2006,1136073600000,16.4945,28.0304,294,807,54.7129,-3.1083,-0.399075,-4.49956,-0.443154,22.3575,
null,null,2006075,14006,77,2006,1136073600000,18.9124,27.7944,283,1033,56.0985,-1.82194,-0.767898,-2.67465,-1.00868,23.3262,
null,null,2006076,14007,78,2006,1136073600000,19.3501,28.844,281,1197,54.6592,-1.68241,-0.730261,-2.22048,-0.822313,24.194,
null,null,2006077,14008,79,2006,1136073600000,19.9224,29.9851,281,1324,53.4138,-1.45188,-0.513479,-1.73968,-0.702085,25.1413,
null,null,2006078,14009,80,2006,1136073600000,20.1303,30.5455,282,1387,52.8035,-1.38457,-0.55369,-1.84002,-0.771111,25.5529,
